[rl] Using Torch backend
INFO:train.py:Using configuration: banana
INFO:train.py:Using seed = 0
INFO:train.py:Running in headless mode
DEBUG:unityagents:The true file name is Banana
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
INFO:root:Checkpoint dir : checkpoints/banana
DEBUG:simulator.py:[Training 1/1000 episodes] ε: 1.0000, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 2/1000 episodes] ε: 0.9950, Best: -inf, Avg: 0.00, Steps: 300
DEBUG:simulator.py:[Training 3/1000 episodes] ε: 0.9900, Best: -inf, Avg: -0.33, Steps: 300
DEBUG:simulator.py:[Training 4/1000 episodes] ε: 0.9851, Best: -inf, Avg: -0.75, Steps: 300
DEBUG:simulator.py:[Training 5/1000 episodes] ε: 0.9801, Best: -inf, Avg: -1.00, Steps: 300
DEBUG:simulator.py:[Training 6/1000 episodes] ε: 0.9752, Best: -inf, Avg: -0.83, Steps: 300
DEBUG:simulator.py:[Training 7/1000 episodes] ε: 0.9704, Best: -inf, Avg: -0.71, Steps: 300
DEBUG:simulator.py:[Training 8/1000 episodes] ε: 0.9655, Best: -inf, Avg: -0.62, Steps: 300
DEBUG:simulator.py:[Training 9/1000 episodes] ε: 0.9607, Best: -inf, Avg: -0.67, Steps: 300
DEBUG:simulator.py:[Training 10/1000 episodes] ε: 0.9559, Best: -inf, Avg: -0.60, Steps: 300
DEBUG:simulator.py:[Training 11/1000 episodes] ε: 0.9511, Best: -inf, Avg: -0.55, Steps: 300
DEBUG:simulator.py:[Training 12/1000 episodes] ε: 0.9464, Best: -inf, Avg: -0.50, Steps: 300
DEBUG:simulator.py:[Training 13/1000 episodes] ε: 0.9416, Best: -inf, Avg: -0.38, Steps: 300
DEBUG:simulator.py:[Training 14/1000 episodes] ε: 0.9369, Best: -inf, Avg: -0.36, Steps: 300
DEBUG:simulator.py:[Training 15/1000 episodes] ε: 0.9322, Best: -inf, Avg: -0.20, Steps: 300
DEBUG:simulator.py:[Training 16/1000 episodes] ε: 0.9276, Best: -inf, Avg: -0.25, Steps: 300
DEBUG:simulator.py:[Training 17/1000 episodes] ε: 0.9229, Best: -inf, Avg: -0.24, Steps: 300
DEBUG:simulator.py:[Training 18/1000 episodes] ε: 0.9183, Best: -inf, Avg: -0.22, Steps: 300
DEBUG:simulator.py:[Training 19/1000 episodes] ε: 0.9137, Best: -inf, Avg: -0.05, Steps: 300
DEBUG:simulator.py:[Training 20/1000 episodes] ε: 0.9092, Best: -inf, Avg: -0.05, Steps: 300
DEBUG:simulator.py:[Training 21/1000 episodes] ε: 0.9046, Best: -inf, Avg: 0.05, Steps: 300
DEBUG:simulator.py:[Training 22/1000 episodes] ε: 0.9001, Best: -inf, Avg: 0.09, Steps: 300
DEBUG:simulator.py:[Training 23/1000 episodes] ε: 0.8956, Best: -inf, Avg: 0.04, Steps: 300
DEBUG:simulator.py:[Training 24/1000 episodes] ε: 0.8911, Best: -inf, Avg: 0.12, Steps: 300
DEBUG:simulator.py:[Training 25/1000 episodes] ε: 0.8867, Best: -inf, Avg: 0.12, Steps: 300
DEBUG:simulator.py:[Training 26/1000 episodes] ε: 0.8822, Best: -inf, Avg: 0.12, Steps: 300
DEBUG:simulator.py:[Training 27/1000 episodes] ε: 0.8778, Best: -inf, Avg: 0.11, Steps: 300
DEBUG:simulator.py:[Training 28/1000 episodes] ε: 0.8734, Best: -inf, Avg: 0.11, Steps: 300
DEBUG:simulator.py:[Training 29/1000 episodes] ε: 0.8691, Best: -inf, Avg: 0.21, Steps: 300
